Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 02/07  08:00:00,501.1587349,29.09957203,0,0,149.5221812,199.3629083,981.940647,970.9949983,10.94564865,
 02/07  09:00:00,1048.919171,29.09957203,0,0,448.5665436,448.5665436,496.0204885,478.3807841,17.63970443,
 02/07  10:00:00,1012.150435,29.09957203,0,0,448.5665436,448.5665436,396.1786523,376.3059102,19.87274202,
 02/07  11:00:00,963.2059156,29.09957203,0,0,448.5665436,448.5665436,340.9773397,321.0933954,19.88394429,
 02/07  12:00:00,963.171534,29.09957203,0,0,448.5665436,448.5665436,307.3819565,282.9920888,24.3898677,
 02/07  13:00:00,913.3477318,29.09957203,0,0,448.5665436,398.7258165,330.0626144,301.0945313,28.96808308,
 02/07  14:00:00,963.1434346,29.09957203,0,0,448.5665436,448.5665436,283.0760507,254.1547624,28.92128827,
 02/07  15:00:00,963.123359,29.09957203,0,0,448.5665436,448.5665436,262.9892123,245.3588945,17.63031782,
 02/07  16:00:00,963.0984369,29.09957203,0,0,448.5665436,448.5665436,236.1966338,218.5752452,17.62138858,
 02/07  17:00:00,1011.988318,29.09957203,0,0,448.5665436,448.5665436,237.2247489,215.0823451,22.1424038,
 02/07  18:00:00,950.4276149,29.09957203,0,0,348.8850895,398.7258165,281.3252486,268.1471968,13.17805181,
 02/07  19:00:00,751.1146711,29.09957203,0,0,249.2036353,299.0443624,345.6595301,334.7031953,10.95633473,
 02/07  20:00:00,726.6778407,29.09957203,0,0,249.2036353,299.0443624,358.7518478,350.0067812,8.745066622,
 02/07  21:00:00,577.2660279,29.09957203,0,0,149.5221812,249.2036353,497.2505673,488.498148,8.752419363,
 02/07  22:00:00,552.8423613,29.09957203,0,0,149.5221812,249.2036353,528.0102459,523.6429556,4.3672903,
 02/07  23:00:00,349.3569721,0,0,0,49.84072707,199.3629083,4.361494432,0,4.361494432,
 02/07  24:00:00,299.9922128,0,0,0,24.92036353,199.3629083,2.190783817,0,2.190783817,
 02/08  01:00:00,287.7700151,0,0,0,24.92036353,199.3629083,2.190937185,0,2.190937185,
 02/08  02:00:00,287.7700153,0,0,0,24.92036353,199.3629083,2.190706462,0,2.190706462,
 02/08  03:00:00,287.7700155,0,0,0,24.92036353,199.3629083,4.361488611,0,4.361488611,
 02/08  04:00:00,287.7700151,0,0,0,24.92036353,199.3629083,2.190782336,0,2.190782336,
 02/08  05:00:00,299.9922131,0,0,0,24.92036353,199.3629083,2.190935427,0,2.190935427,
 02/08  06:00:00,349.3584996,0,0,0,49.84072707,199.3629083,4.367790046,0,4.367790046,
 02/08  07:00:00,428.1660922,29.09957203,0,0,49.84072707,199.3629083,989.1858755,984.8201624,4.365713113,
 02/08  08:00:00,500.7855209,29.09957203,0,0,149.5221812,199.3629083,696.7930657,685.8468177,10.94624798,
 02/08  09:00:00,1048.723503,29.09957203,0,0,448.5665436,448.5665436,322.977328,305.3372686,17.64005944,
 02/08  10:00:00,1011.988652,29.09957203,0,0,448.5665436,448.5665436,242.0379506,222.1696841,19.86826648,
 02/08  11:00:00,963.0598059,29.09957203,0,0,448.5665436,448.5665436,193.4895073,173.6102371,19.87927016,
 02/08  12:00:00,963.0536656,29.09957203,0,0,448.5665436,448.5665436,186.3187508,161.9274911,24.39125973,
 02/08  13:00:00,913.2394399,29.09957203,0,0,448.5665436,398.7258165,220.7270638,189.5299929,31.19707087,
 02/08  14:00:00,963.038422,29.09957203,0,0,448.5665436,448.5665436,166.734109,140.0391971,26.69491192,
 02/08  15:00:00,962.9894999,29.09957203,0,0,448.5665436,448.5665436,109.4215102,91.79139639,17.63011382,
 02/08  16:00:00,962.9708756,29.09957203,0,0,448.5665436,448.5665436,86.79041507,69.16806731,17.62234777,
 02/08  17:00:00,1011.876041,29.09957203,0,0,448.5665436,448.5665436,105.081152,82.93973541,22.14141663,
 02/08  18:00:00,950.3456319,29.09957203,0,0,348.8850895,398.7258165,190.3329657,174.9641493,15.36881647,
 02/08  19:00:00,751.050768,29.09957203,0,0,249.2036353,299.0443624,276.4787498,265.5215555,10.95719427,
 02/08  20:00:00,726.6237404,29.09957203,0,0,249.2036353,299.0443624,299.0366818,292.4739473,6.562734488,
 02/08  21:00:00,577.15335,29.09957203,0,0,149.5221812,249.2036353,366.9011092,358.1481059,8.753003255,
 02/08  22:00:00,552.7329901,29.09957203,0,0,149.5221812,249.2036353,399.3297112,394.9615209,4.368190338,
 02/08  23:00:00,349.3569724,0,0,0,49.84072707,199.3629083,4.361622803,0,4.361622803,
 02/08  24:00:00,299.992213,0,0,0,24.92036353,199.3629083,2.190848561,0,2.190848561,
 02/09  01:00:00,287.7700156,0,0,0,24.92036353,199.3629083,2.190618345,0,2.190618345,
 02/09  02:00:00,287.7700158,0,0,0,24.92036353,199.3629083,4.361697993,0,4.361697993,
 02/09  03:00:00,287.7700154,0,0,0,24.92036353,199.3629083,2.19069543,0,2.19069543,
 02/09  04:00:00,287.7700154,0,0,0,24.92036353,199.3629083,2.190849161,0,2.190849161,
 02/09  05:00:00,299.9922136,0,0,0,24.92036353,199.3629083,4.361391454,0,4.361391454,
 02/09  06:00:00,349.7521719,0.391787621,0,0,49.84072707,199.3629083,6.77971338,2.411815631,4.367897749,
 02/09  07:00:00,428.1581617,29.09957203,0,0,49.84072707,199.3629083,975.1013839,972.9088009,2.192582988,
 02/09  08:00:00,500.9696511,29.09957203,0,0,149.5221812,199.3629083,891.0623464,880.1151451,10.94720129,
 02/09  09:00:00,1048.831727,29.09957203,0,0,448.5665436,448.5665436,427.1949091,409.5548763,17.64003279,
 02/09  10:00:00,1011.965534,29.09957203,0,0,448.5665436,448.5665436,199.5527489,179.6815718,19.8711772,
 02/09  11:00:00,963.2715733,29.33395267,0,0,448.5665436,448.5665436,155.1048429,135.2220573,19.88278559,
 02/09  12:00:00,964.6178985,30.6970764,0,0,448.5665436,448.5665436,138.854158,112.24601,26.60814804,
 02/09  13:00:00,915.5609248,31.46994071,0,0,448.5665436,398.7258165,148.8282891,119.8637306,28.96455849,
 02/09  14:00:00,965.5333946,31.63570423,0,0,448.5665436,448.5665436,109.2999954,82.59896336,26.70103202,
 02/09  15:00:00,965.3820058,31.52340234,0,0,448.5665436,448.5665436,66.58725115,48.95421068,17.63304048,
 02/09  16:00:00,963.790862,29.935148,0,0,448.5665436,448.5665436,63.91853647,46.29454183,17.62399464,
 02/09  17:00:00,1011.865944,29.09957203,0,0,448.5665436,448.5665436,90.07103719,65.7150763,24.3559609,
 02/09  18:00:00,941.7696454,29.09957203,0,0,348.8850895,398.7258165,138.9249601,125.7511845,13.1737756,
 02/09  19:00:00,750.9919276,29.09957203,0,0,249.2036353,299.0443624,190.4625039,179.5050983,10.95740566,
 02/09  20:00:00,726.5586991,29.09957203,0,0,249.2036353,299.0443624,206.7743399,198.0304912,8.743848698,
 02/09  21:00:00,577.0880546,29.09957203,0,0,149.5221812,249.2036353,269.7890786,261.0363385,8.752740164,
 02/09  22:00:00,552.6602035,29.09957203,0,0,149.5221812,249.2036353,293.2871252,288.9191375,4.36798771,
 02/09  23:00:00,349.3569724,0,0,0,49.84072707,199.3629083,2.190789453,0,2.190789453,
 02/09  24:00:00,299.9922134,0,0,0,24.92036353,199.3629083,2.190943019,0,2.190943019,
 02/10  01:00:00,287.770016,0,0,0,24.92036353,199.3629083,4.361580183,0,4.361580183,
 02/10  02:00:00,287.7700157,0,0,0,24.92036353,199.3629083,2.190637023,0,2.190637023,
 02/10  03:00:00,287.7700156,0,0,0,24.92036353,199.3629083,2.190791249,0,2.190791249,
 02/10  04:00:00,287.770016,0,0,0,24.92036353,199.3629083,4.361660275,0,4.361660275,
 02/10  05:00:00,299.9922135,0,0,0,24.92036353,199.3629083,2.190869191,0,2.190869191,
 02/10  06:00:00,349.3585004,0,0,0,49.84072707,199.3629083,4.367312891,0,4.367312891,
 02/10  07:00:00,419.2529476,29.09957203,0,0,49.84072707,199.3629083,551.794821,547.4288857,4.365935251,
 02/10  08:00:00,500.5685505,29.09957203,0,0,149.5221812,199.3629083,438.3530228,429.5921735,8.760849313,
 02/10  09:00:00,1048.667977,29.09957203,0,0,448.5665436,448.5665436,259.7624996,239.9191815,19.84331811,
 02/10  10:00:00,1011.954991,29.09957203,0,0,448.5665436,448.5665436,202.1766598,182.3076525,19.86900724,
 02/10  11:00:00,963.0182441,29.09957203,0,0,448.5665436,448.5665436,142.9676477,123.0868057,19.88084204,
 02/10  12:00:00,963.0728116,29.17561794,0,0,448.5665436,448.5665436,116.1184741,91.72634139,24.3921327,
