Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 12/25  12:00:00,0.953811803,11.03381214,0,10.77458972,0,0.296659847,0.296659847,0.296659847,0.132355302,0.028836848,0.118177647,0.360670159,0.234380288
 12/25  13:00:00,0.941859066,10.35530557,0,10.09589777,0,0.277973229,0.277973229,0.277973229,0.132355302,0.028836848,0.130987136,0.354594551,0.23498413
 12/25  14:00:00,0.930717171,10.08611951,0,9.825333118,0,0.270523695,0.270523695,0.270523695,0.132355302,0.028836848,0.115033093,0.366856232,0.235518177
 12/25  15:00:00,0.955993195,9.777582507,0,9.51499099,0,0.261978957,0.261978957,0.261978957,0.14628747,0.031872313,0.111229159,0.387513298,0.235900487
 12/25  16:00:00,1.057607719,9.504791585,0,9.240608419,0,0.254424303,0.254424303,0.254424303,0.202016058,0.044014134,0.130987136,0.409054088,0.236008455
 12/25  17:00:00,1.377610186,9.307200335,0,9.037627546,0,0.248835573,0.248835573,0.248835573,0.362235612,0.078921911,0.186665796,0.483839294,0.236247044
 12/25  18:00:00,1.937097788,10.50537109,0,10.22840101,0,0.281621478,0.281621478,0.281621478,0.633912342,0.138113348,0.278551203,0.587787417,0.236484626
 12/25  19:00:00,2.171291814,8.917254271,0,8.637473768,0,0.237818025,0.237818025,0.237818025,0.835928316,0.182127482,0.230146264,0.638159727,0.23582552
 12/25  20:00:00,1.999097901,8.62046621,0,8.33857561,0,0.229588377,0.229588377,0.229588377,0.780199812,0.169985661,0.143505724,0.658706327,0.236520415
 12/25  21:00:00,1.899142487,8.659620513,0,8.375458608,0,0.230603887,0.230603887,0.230603887,0.71053914,0.154808375,0.104727311,0.681351773,0.237231953
 12/25  22:00:00,1.734311263,8.793718495,0,8.510456073,0,0.234320811,0.234320811,0.234320811,0.599081964,0.130524696,0.087827064,0.665444728,0.237428111
 12/25  23:00:00,1.448116337,9.007157869,0,8.730137244,0,0.240369355,0.240369355,0.240369355,0.445828452,0.097134661,0.071814737,0.575857133,0.237356902
 12/25  24:00:00,1.207113243,9.227140367,0,8.955498986,0,0.246574304,0.246574304,0.246574304,0.31347315,0.068297813,0.061246843,0.500409133,0.237174343
 12/26  01:00:00,0.961323846,9.464052594,0,9.036358567,0,0.248800634,0.248800634,0.248800634,0.160219638,0.034907759,0.086369242,0.413914574,0.399184537
 12/26  02:00:00,0.84811149,9.745997194,0,9.402482165,0,0.258881219,0.258881219,0.258881219,0.097525008,0.021248214,0.072238755,0.381106294,0.317265299
 12/26  03:00:00,0.788675296,9.72033349,0,9.399756732,0,0.258806179,0.258806179,0.258806179,0.06269463,0.013659563,0.059715255,0.37668767,0.294631373
 12/26  04:00:00,0.777522039,9.771604916,0,9.445276918,0,0.260059499,0.260059499,0.260059499,0.06269463,0.013659563,0.052611026,0.371385321,0.300747826
 12/26  05:00:00,0.775614518,9.894145464,0,9.502695666,0,0.261640426,0.261640426,0.261640426,0.06269463,0.013659563,0.063151709,0.357356191,0.366835921
