Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/12  08:00:00,1.025180543,3.23777861,0,2.141637905,0,0.058966326,0.058966326,0.058966326,0.267380978,0.058255502,0.272982227,0.35048351,1.072000202
 10/12  09:00:00,0.855343317,2.671721112,0,1.673782985,0,0.046084744,0.046084744,0.046084744,0.130962144,0.028533314,0.334361307,0.298289809,0.977392607
 10/12  10:00:00,0.845716591,2.627132651,0,1.740162337,0,0.047912385,0.047912385,0.047912385,0.10367836,0.022588873,0.349119881,0.305305091,0.865941597
 10/12  11:00:00,0.837274317,1.631587013,0,0.844350733,0,0.023247749,0.023247749,0.023247749,0.10367836,0.022588873,0.365248706,0.305398628,0.766201121
 10/12  12:00:00,0.811305482,1.130001344,0,0.420074241,0,0.011566024,0.011566024,0.011566024,0.10367836,0.022588873,0.356106137,0.300254088,0.689246288
 10/12  13:00:00,0.788423785,1.10558675,0,0.440499466,0,0.012128397,0.012128397,0.012128397,0.10367836,0.022588873,0.322279448,0.310636706,0.643691339
 10/12  14:00:00,0.786919442,1.28886001,0,0.667315397,0,0.018373385,0.018373385,0.018373385,0.10367836,0.022588873,0.29703868,0.328128143,0.598943897
 10/12  15:00:00,0.823630006,1.359398234,0,0.73051468,0,0.020113469,0.020113469,0.020113469,0.109135134,0.023777747,0.307123779,0.346367877,0.605026527
 10/12  16:00:00,0.971153396,1.433631567,0,0.745130289,0,0.020515884,0.020515884,0.020515884,0.136418834,0.029722188,0.357691996,0.409692493,0.660282595
 10/12  17:00:00,1.276477897,2.286189494,0,1.472824042,0,0.040551684,0.040551684,0.040551684,0.223726957,0.048744404,0.448631948,0.497710904,0.779084262
